X,Y,full_id,osm_id,osm_type,amenity,covered,ele,bbq,name,leisure,check_date,icon_url
-33.2354064189112,-85.526610244295,n7981966778,"7981966778",node,,,,,,picnic_table,,./0.png
-33.2354064258207,-85.526610245918,n7981966779,"7981966779",node,,,,,,picnic_table,,./0.png
-33.2354064190242,-85.5266102412302,n7981966780,"7981966780",node,,,,,,picnic_table,,./0.png
-33.2354064307234,-85.5266102422846,n7982071712,"7982071712",node,,,,,,picnic_table,,./0.png
-33.2353926520021,-85.5266121895118,n8273993749,"8273993749",node,,,,,,picnic_table,,./0.png
-33.2353926619117,-85.5266121887648,n8273993750,"8273993750",node,,,,,,picnic_table,,./0.png
-33.2353929162235,-85.5266121866023,n8273993751,"8273993751",node,,,,,,picnic_table,,./0.png
-33.235390702124,-85.5266094711967,n8767990856,"8767990856",node,,,,,,picnic_table,,./0.png
-33.2353975679632,-85.5266100983277,n8827227006,"8827227006",node,,,,,,picnic_table,,./0.png
-33.235397301016,-85.5266100845336,n8827248173,"8827248173",node,,,,,,picnic_table,,./0.png
-33.2353968992399,-85.526609730155,n8827254887,"8827254887",node,,,,,,picnic_table,,./0.png
-33.2353965304084,-85.52660982121,n8827263970,"8827263970",node,,,,,,picnic_table,,./0.png
-33.235404874643,-85.526610020219,n8827271895,"8827271895",node,,,,,,picnic_table,,./0.png
-33.2354045170237,-85.5266104448231,n8827274188,"8827274188",node,,,,,,picnic_table,,./0.png
-33.235383258865,-85.5266103804424,n9007579215,"9007579215",node,,,,,,picnic_table,,./0.png
-33.2354111608995,-85.5266103374461,n9043064710,"9043064710",node,,,,,,picnic_table,,./0.png
-33.2354111765529,-85.5266103416185,n9043392821,"9043392821",node,,,,,,picnic_table,,./0.png
-33.2354113929302,-85.5266103042699,n9043685963,"9043685963",node,,,,,,picnic_table,,./0.png
-33.2353940736784,-85.5266098106667,n9063372616,"9063372616",node,,,,,,picnic_table,,./0.png
-33.2353961119609,-85.5266095933377,n9064069059,"9064069059",node,,,,,,picnic_table,,./0.png
-33.2353948700401,-85.526609763582,n9064069060,"9064069060",node,,,,,,picnic_table,,./0.png
-33.2353967779704,-85.5266095240022,n9066795003,"9066795003",node,,,,,,picnic_table,,./0.png
-33.235396770304,-85.526609523868,n9066822351,"9066822351",node,,,,,,picnic_table,,./0.png
-33.2354309990305,-85.5266131787279,n9081654565,"9081654565",node,,,,,,picnic_table,,./0.png
-33.235381138973,-85.5266114602289,n9101648973,"9101648973",node,,,,,,picnic_table,,./0.png
-33.2353881312311,-85.5266090162772,n9179934654,"9179934654",node,,,,,,picnic_table,,./0.png
