id,origine,nature,toponyme,importance,icon_url
PAICULOI0000000002305035,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305037,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305040,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305042,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305044,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305045,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305046,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305058,Terrain,Muse,NR,NR,./0.png
PAICULOI0000000000384494,Orthophotographie,Muse,NR,NR,./0.png
PAICULOI0000000001698145,Terrain,Muse,NR,NR,./0.png
PAICULOI0000000001697951,Orthophotographie,Muse,NR,NR,./0.png
PAICULOI0000000001697692,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001697690,Orthophotographie,Muse,NR,NR,./0.png
PAICULOI0000000001697652,BDNyme,NR,villa folio,"8",./0.png
PAICULOI0000000000008357,BDTopo,Espace public,conservatoire botanique de mascarin,"8",./0.png
PAICULOI0000000000008364,BDTopo,Muse,muse stella matutina,"7",./0.png
PAICULOI0000000000008349,BDTopo,Muse,NR,NR,./0.png
PAICULOI0000000001698152,Orthophotographie,Muse,NR,NR,./0.png
PAICULOI0000000000384463,Orthophotographie,Parc des expositions,NR,NR,./0.png
PAICULOI0000000000008368,BDTopo,Habitation troglodytique,NR,NR,./0.png
PAICULOI0000000000008372,BDTopo,Village de vacances,NR,NR,./0.png
PAICULOI0000000001698162,BDTopo,Construction,NR,NR,./0.png
PAICULOI0000000000389928,Orthophotographie,Parc de loisirs,parc du colosse,"8",./0.png
PAICULOI0000000000753565,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000000753563,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090286,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090192,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090300,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000000753568,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090307,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090309,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090291,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090294,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090323,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090311,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000000008353,BDNyme,Refuge,gte des tamarins,"8",./0.png
PAICULOI0000000001656498,BDNyme,Refuge,gte de la roche crite ou de la plaine des chicots,"8",./0.png
PAICULOI0000000001082220,BDNyme,Parc de loisirs,parc de loisirs de bois madame,"8",./0.png
PAICULOI0000000001697693,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000001697741,Orthophotographie,Muse,NR,NR,./0.png
PAICULOI0000000002079298,Terrain,NR,NR,NR,./0.png
PAICULOI0000000001656529,BDNyme,NR,aire de dtente de ravine blanche,"8",./0.png
PAICULOI0000000001656557,BDNyme,NR,aire de dtente de dior,"8",./0.png
PAICULOI0000000002305030,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305047,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305048,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305050,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305051,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000002305054,Terrain,Espace public,NR,NR,./0.png
PAICULOI0000000002305055,Orthophotographie,Muse,NR,NR,./0.png
PAICULOI0000000002305056,Orthophotographie,Muse,NR,NR,./0.png
PAICULOI0000000002305059,Orthophotographie,Muse,NR,NR,./0.png
PAICULOI0000000002082665,Terrain,Espace public,NR,NR,./0.png
PAICULOI0000000001656468,BDNyme,Muse,maison du granium,"8",./0.png
PAICULOI0000000001756926,Terrain,Construction,NR,NR,./0.png
PAICULOI0000000001698129,BDNyme,Espace public,le grand hazier,"7",./0.png
PAICULOI0000000001697608,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001091784,Orthophotographie,Muse,NR,NR,./0.png
PAICULOI0000000000570252,BDNyme,Espace public,le parc bois,"8",./0.png
PAICULOI0000000000008376,BDNyme,Muse,maison du curcuma,"8",./0.png
PAICULOI0000000000570253,BDNyme,Espace public,jardin d'oiseaux,"8",./0.png
PAICULOI0000000000008342,BDTopo,Muse,NR,NR,./0.png
PAICULOI0000000002322460,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000000008371,BDTopo,Camping,NR,NR,./0.png
PAICULOI0000000000008345,BDTopo,Parc zoologique,NR,NR,./0.png
PAICULOI0000000000008351,BDTopo,Camping,NR,NR,./0.png
PAICULOI0000000000008361,BDTopo,Village de vacances,NR,NR,./0.png
PAICULOI0000000000008346,BDTopo,Camping,NR,NR,./0.png
PAICULOI0000000000008358,BDNyme,Monument,stle josmont lauret,"8",./0.png
PAICULOI0000000000008343,BDTopo,Muse,NR,NR,./0.png
PAICULOI0000000000008359,BDTopo,Muse,NR,NR,./0.png
PAICULOI0000000001698159,Orthophotographie,Parc zoologique,NR,NR,./0.png
PAICULOI0000000000008344,BDNyme,Monument,la vierge noire,"7",./0.png
PAICULOI0000000001090255,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090268,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000000008369,BDTopo,Habitation troglodytique,caverne thomas,"8",./0.png
PAICULOI0000000000008362,BDNyme,Refuge,gte mile,"8",./0.png
PAICULOI0000000001090215,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090288,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090297,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090313,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090314,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000000008367,BDNyme,Refuge,gte de roche plate,"8",./0.png
PAICULOI0000000000008375,BDNyme,Refuge,abri du cratre de takamaka,"8",./0.png
PAICULOI0000000001631202,BDNyme,Parc de loisirs,parc de loisirs du colorado,"8",./0.png
PAICULOI0000000001697691,Orthophotographie,Muse,NR,NR,./0.png
PAICULOI0000000002068658,Terrain,Parc des expositions,NR,NR,./0.png
PAICULOI0000000001656487,BDNyme,Refuge,cur de mafate,"8",./0.png
PAICULOI0000000001757128,Terrain,Village de vacances,NR,NR,./0.png
PAICULOI0000000001656492,BDNyme,NR,rserve biologique de bras des merles-bras bmale,"6",./0.png
PAICULOI0000000001757129,Orthophotographie,Camping,NR,NR,./0.png
PAICULOI0000000002305031,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305032,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305033,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305036,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305039,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305049,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000001698094,Orthophotographie,Muse,NR,NR,./0.png
PAICULOI0000000001698161,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000000008370,BDTopo,Parc zoologique,NR,NR,./0.png
